,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
75,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,235876.551,0.25925925925925924,0.5624142661179697,60.0,
76,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,253457.451,0.25925925925925924,0.5624142661179697,60.0,
77,2014-04-02,6.333333333333333,0.5925925925925926,55479.81700062752,348705.674,0.25925925925925924,0.5624142661179697,60.0,
78,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,18397.338,0.3225806451612903,0.5411030176899063,62.0,
79,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,160716.586,0.3225806451612903,0.5411030176899063,62.0,
80,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,203179.345,0.3225806451612903,0.5411030176899063,62.0,
81,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,231548.756,0.3225806451612903,0.5411030176899063,62.0,
82,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,234495.277,0.3225806451612903,0.5411030176899063,62.0,
83,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,235911.109,0.3225806451612903,0.5411030176899063,62.0,
84,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,257350.622,0.3225806451612903,0.5411030176899063,62.0,
85,2014-04-03,6.193548387096774,0.8657648283038502,65523.58500266075,349020.05000000005,0.3225806451612903,0.5411030176899063,62.0,
86,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,19628.581,0.38235294117647056,0.5891003460207612,81.0,
87,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,161945.29499999998,0.38235294117647056,0.5891003460207612,81.0,
88,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,203464.43600000002,0.38235294117647056,0.5891003460207612,81.0,
89,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,234943.869,0.38235294117647056,0.5891003460207612,81.0,
90,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,235948.358,0.38235294117647056,0.5891003460207612,81.0,
91,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,259309.452,0.38235294117647056,0.5891003460207612,81.0,
92,2014-04-04,6.235294117647059,0.8269896193771625,72922.19900131226,350652.95700000005,0.38235294117647056,0.5891003460207612,81.0,
93,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,21239.829,0.3684210526315789,0.5484764542936287,83.0,11.03
94,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,162142.683,0.3684210526315789,0.5484764542936287,83.0,11.03
95,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,204859.999,0.3684210526315789,0.5484764542936287,83.0,11.03
96,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,231584.256,0.3684210526315789,0.5484764542936287,83.0,11.03
97,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,232919.794,0.3684210526315789,0.5484764542936287,83.0,11.03
98,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,235976.923,0.3684210526315789,0.5484764542936287,83.0,11.03
99,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,261356.191,0.3684210526315789,0.5484764542936287,83.0,11.03
100,2014-04-05,6.2368421052631575,0.917590027700831,77786.99900197983,350790.01300000004,0.3684210526315789,0.5484764542936287,83.0,11.03
101,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,21797.891,0.3902439024390244,0.5306365258774538,,
102,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,162278.50499999998,0.3902439024390244,0.5306365258774538,,
103,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,205075.738,0.3902439024390244,0.5306365258774538,,
104,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,236006.207,0.3902439024390244,0.5306365258774538,,
105,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,262220.053,0.3902439024390244,0.5306365258774538,,
106,2014-04-06,6.219512195121951,0.9030339083878643,80595.4590022564,351130.33999999997,0.3902439024390244,0.5306365258774538,,
107,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,23386.254,0.35555555555555557,0.4958024691358025,,114.278
108,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,162904.86599999998,0.35555555555555557,0.4958024691358025,,114.278
109,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,205458.348,0.35555555555555557,0.4958024691358025,,114.278
110,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,231620.584,0.35555555555555557,0.4958024691358025,,114.278
111,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,233023.04200000002,0.35555555555555557,0.4958024691358025,,114.278
112,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,234943.869,0.35555555555555557,0.4958024691358025,,114.278
113,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,236059.678,0.35555555555555557,0.4958024691358025,,114.278
114,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,264816.653,0.35555555555555557,0.4958024691358025,,114.278
115,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,351281.37600000005,0.35555555555555557,0.4958024691358025,,114.278
116,2014-04-07,6.2444444444444445,0.8513580246913581,86583.83500266075,359419.181,0.35555555555555557,0.4958024691358025,,114.278
117,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,26447.146,0.3125,0.5065104166666666,72.0,
118,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,164283.33299999998,0.3125,0.5065104166666666,72.0,
119,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,206899.991,0.3125,0.5065104166666666,72.0,
120,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,231812.692,0.3125,0.5065104166666666,72.0,
121,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,234960.19900000002,0.3125,0.5065104166666666,72.0,
122,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,236094.223,0.3125,0.5065104166666666,72.0,
123,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,267994.762,0.3125,0.5065104166666666,72.0,
124,2014-04-08,6.229166666666667,0.8016493055555557,94555.19700288773,351363.032,0.3125,0.5065104166666666,72.0,
125,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,56962.899999999994,0.29411764705882354,0.48212226066897335,,140.422
126,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,166037.137,0.29411764705882354,0.48212226066897335,,140.422
127,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,209233.63400000002,0.29411764705882354,0.48212226066897335,,140.422
128,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,231837.771,0.29411764705882354,0.48212226066897335,,140.422
129,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,233049.18600000002,0.29411764705882354,0.48212226066897335,,140.422
130,2014-04-09,6.176470588235294,0.8119953863898502,105569.30900120735,235102.896,0.29411764705882354,0.48212226066897335,,140.422
