,Unnamed: 0,date,feature_avg_mood,feature_var_mood,feature_screen_time,feature_apps_time,feature_avg_arousal,feature_var_arousal,feature_social_contact,feature_gaming
77,77,2014-03-26,6.705882352941177,0.6389850057670127,7966.113000631333,1738.2599999999998,0.3529411764705882,1.32641291810842,17.0,0.0
78,78,2014-03-26,6.705882352941177,0.6389850057670127,7966.113000631333,10601.627,0.3529411764705882,1.32641291810842,17.0,0.0
79,79,2014-03-26,6.705882352941177,0.6389850057670127,7966.113000631333,20911.896,0.3529411764705882,1.32641291810842,17.0,0.0
80,80,2014-03-26,6.705882352941177,0.6389850057670127,7966.113000631333,29817.584000000003,0.3529411764705882,1.32641291810842,17.0,0.0
81,81,2014-03-26,6.705882352941177,0.6389850057670127,7966.113000631333,30591.276,0.3529411764705882,1.32641291810842,17.0,0.0
82,82,2014-03-27,6.666666666666667,0.6666666666666666,9389.762000799185,1783.866,0.3703703703703703,1.344307270233196,87.0,0.0
83,83,2014-03-27,6.666666666666667,0.6666666666666666,9389.762000799185,22676.036,0.3703703703703703,1.344307270233196,87.0,0.0
84,84,2014-03-28,6.666666666666667,0.6432748538011697,9907.977000713352,1902.616,0.3333333333333333,1.345029239766082,0.0,0.0
85,85,2014-03-28,6.666666666666667,0.6432748538011697,9907.977000713352,10901.149999999998,0.3333333333333333,1.345029239766082,0.0,0.0
86,86,2014-03-29,6.661016949152542,0.6308532031025565,10316.412000656132,2034.23,0.3103448275862069,1.3519619500594529,89.0,0.0
87,87,2014-03-29,6.661016949152542,0.6308532031025565,10316.412000656132,11026.365000000002,0.3103448275862069,1.3519619500594529,89.0,0.0
88,88,2014-03-29,6.661016949152542,0.6308532031025565,10316.412000656132,29817.584000000003,0.3103448275862069,1.3519619500594529,89.0,0.0
89,89,2014-03-29,6.661016949152542,0.6308532031025565,10316.412000656132,30127.71,0.3103448275862069,1.3519619500594529,89.0,0.0
90,90,2014-03-29,6.661016949152542,0.6308532031025565,10316.412000656132,30664.906000000003,0.3103448275862069,1.3519619500594529,89.0,0.0
91,91,2014-03-30,6.571428571428571,1.1020408163265305,11044.277001142504,2208.386,0.3548387096774194,1.3902185223725287,60.0,0.0
92,92,2014-03-30,6.571428571428571,1.1020408163265305,11044.277001142504,11122.774,0.3548387096774194,1.3902185223725287,60.0,0.0
93,93,2014-03-30,6.571428571428571,1.1020408163265305,11044.277001142504,23441.438,0.3548387096774194,1.3902185223725287,60.0,0.0
94,94,2014-03-30,6.571428571428571,1.1020408163265305,11044.277001142504,30137.793,0.3548387096774194,1.3902185223725287,60.0,0.0
95,95,2014-03-31,6.545454545454546,1.0661157024793386,11116.931000947956,2215.663,0.3076923076923077,1.4437869822485203,100.0,0.0
96,96,2014-03-31,6.545454545454546,1.0661157024793386,11116.931000947956,11174.75,0.3076923076923077,1.4437869822485203,100.0,0.0
97,97,2014-03-31,6.545454545454546,1.0661157024793386,11116.931000947956,30137.793,0.3076923076923077,1.4437869822485203,100.0,0.0
98,98,2014-04-01,6.514285714285714,1.0497959183673469,12570.953000783928,2294.3740000000003,0.2753623188405797,1.4749002310438983,38.0,0.0
99,99,2014-04-01,6.514285714285714,1.0497959183673469,12570.953000783928,11365.586,0.2753623188405797,1.4749002310438983,38.0,0.0
100,100,2014-04-01,6.514285714285714,1.0497959183673469,12570.953000783928,30674.888,0.2753623188405797,1.4749002310438983,38.0,0.0
101,101,2014-04-01,6.514285714285714,1.0497959183673469,12570.953000783928,32231.192000000003,0.2753623188405797,1.4749002310438983,38.0,0.0
102,102,2014-04-02,6.5,1.0337837837837838,21203.79000091554,2321.335,0.2602739726027397,1.4528054043910676,65.0,0.0
103,103,2014-04-02,6.5,1.0337837837837838,21203.79000091554,11467.326,0.2602739726027397,1.4528054043910676,65.0,0.0
104,104,2014-04-02,6.5,1.0337837837837838,21203.79000091554,30674.888,0.2602739726027397,1.4528054043910676,65.0,0.0
105,105,2014-04-03,6.48051948051948,1.0807893405296003,21318.530000925075,2359.0960000000005,0.2368421052631578,1.4439058171745156,0.0,0.0
106,106,2014-04-03,6.48051948051948,1.0807893405296003,21318.530000925075,11720.201,0.2368421052631578,1.4439058171745156,0.0,0.0
107,107,2014-04-03,6.48051948051948,1.0807893405296003,21318.530000925075,23441.438,0.2368421052631578,1.4439058171745156,0.0,0.0
108,108,2014-04-03,6.48051948051948,1.0807893405296003,21318.530000925075,30146.917,0.2368421052631578,1.4439058171745156,0.0,0.0
109,109,2014-04-03,6.48051948051948,1.0807893405296003,21318.530000925075,30702.682999999997,0.2368421052631578,1.4439058171745156,0.0,0.0
110,110,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,3017.912,0.225,1.4243750000000002,109.0,0.0
111,111,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,13364.004999999996,0.225,1.4243750000000002,109.0,0.0
112,112,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,25583.296,0.225,1.4243750000000002,109.0,0.0
113,113,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,29817.584000000003,0.225,1.4243750000000002,109.0,0.0
114,114,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,30165.987,0.225,1.4243750000000002,109.0,0.0
115,115,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,30877.965,0.225,1.4243750000000002,109.0,0.0
116,116,2014-04-04,6.481481481481482,1.0397805212620026,26238.301001071944,32239.407,0.225,1.4243750000000002,109.0,0.0
117,117,2014-04-05,6.505882352941176,1.002906574394463,26439.50600099565,3113.2380000000003,0.1904761904761904,1.4160997732426304,68.0,0.0
118,118,2014-04-05,6.505882352941176,1.002906574394463,26439.50600099565,13567.371,0.1904761904761904,1.4160997732426304,68.0,0.0
119,119,2014-04-05,6.505882352941176,1.002906574394463,26439.50600099565,25707.108,0.1904761904761904,1.4160997732426304,68.0,0.0
120,120,2014-04-05,6.505882352941176,1.002906574394463,26439.50600099565,30175.025,0.1904761904761904,1.4160997732426304,68.0,0.0
121,121,2014-04-05,6.505882352941176,1.002906574394463,26439.50600099565,30877.965,0.1904761904761904,1.4160997732426304,68.0,0.0
122,122,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,3534.5989999999997,0.1992062100884043,1.357757810557676,0.0,0.0
123,123,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,13999.039,0.1992062100884043,1.357757810557676,0.0,0.0
124,124,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,25841.602,0.1992062100884043,1.357757810557676,0.0,0.0
125,125,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,30175.025,0.1992062100884043,1.357757810557676,0.0,0.0
126,126,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,30951.437,0.1992062100884043,1.357757810557676,0.0,0.0
127,127,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,32239.407,0.1992062100884043,1.357757810557676,0.0,0.0
128,128,2014-04-06,6.5227272727272725,0.9767561983471076,28043.480000734344,32239.407,0.1992062100884043,1.357757810557676,0.0,0.0
